company_id,company_cik,company_composite_figi,company_market_locale,company_share_class_figi,company_asset_type,company_ticker,company_name
133,0001835972,BBG00Z9114K8,us,BBG00Z9115H9,stocks,AILE,"iLearningEngines, Inc. Common Stock"
134,0001835972,BBG00ZCX6HK0,us,,stocks,AILEW,"iLearningEngines, Inc. Warrant"
135,0001903464,,us,,stocks,AIMAU,Aimfinity Investment Corp. I Unit
136,0001903464,,us,,stocks,AIMAW,Aimfinity Investment Corp. I Warrant
137,0001903464,,us,,stocks,AIMBU,Aimfinity Investment Corp. I Subunit
138,0001014763,BBG000H6PLR4,us,BBG001S965R0,stocks,AIMD,"Ainos, Inc. Common Stock"
139,0001014763,BBG019232J79,us,,stocks,AIMDW,"Ainos, Inc. Warrants"
140,0001774170,BBG00PG3JNL6,us,BBG00PG3JNM5,stocks,AIOT,"PowerFleet, Inc. Common Stock"
141,0001667011,BBG000QMLTK3,us,BBG001T7VHG1,stocks,AIP,"Arteris, Inc. Common Stock"
142,,BBG01N48YNC5,us,BBG01N48YPF7,stocks,AIPI,REX AI Equity Premium Income ETF
143,0001432353,BBG00KX8KG94,us,BBG00KX8KH01,stocks,AIQ,Global X Funds Global X Artificial Intelligence & Technology ETF
144,0001859199,BBG015SL9PD1,us,BBG015SL9PF9,stocks,AIRE,reAlpha Tech Corp. Common Stock
145,0001272842,BBG0026ZDGG4,us,BBG0026ZDGH3,stocks,AIRG,"Airgain, Inc. Common Stock"
146,0001855474,BBG014FPNGK5,us,BBG014FPNHD1,stocks,AIRJ,AirJoule Technologies Corporation Class A Common Stock
147,0001855474,BBG014XDH6X7,us,,stocks,AIRJW,AirJoule Technologies Corporation Warrant
148,,BBG01KG3SJX2,us,BBG01KG3SL67,stocks,AIRL,Themes Airlines ETF
149,0001552740,BBG0063G4FW4,us,BBG0063G4FX3,stocks,AIRR,First Trust RBA American Industrial Renaissance ETF
150,0001870940,BBG012V27C29,us,BBG012V27CX5,stocks,AIRS,"AirSculpt Technologies, Inc. Common Stock"
151,0000353184,BBG000BBH316,us,BBG001S5NJZ0,stocks,AIRT,Air T Inc
152,0000353184,,us,,stocks,AIRTP,"Air T, Inc. Air T Funding Alpha Income Trust Preferred Securities"
153,0001842566,BBG00ZZNS7C4,us,BBG00ZZNS7D3,stocks,AISP,"Airship AI Holdings, Inc. Class A Common Stock"
154,0001842566,BBG010W1PNX6,us,,stocks,AISPW,"Airship AI Holdings, Inc. Warrants"
155,0001966734,,us,,stocks,AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares
156,0001966734,,us,,stocks,AITRR,AI TRANSPORTATION ACQUISITION CORP Right
157,0001966734,,us,,stocks,AITRU,AI TRANSPORTATION ACQUISITION CORP Unit
158,0001935172,BBG01C3DTQ83,us,BBG01C3DTQ92,stocks,AIXI,XIAO-I Corporation American Depositary Shares
159,0001086222,BBG000BJQWD2,us,BBG001S7YHX0,stocks,AKAM,Akamai Technologies Inc
160,0001888014,BBG013GQ5XT8,us,BBG013GQ5XV5,stocks,AKAN,Akanda Corp. Common Shares
161,0001517022,BBG000R33R00,us,BBG001T922S9,stocks,AKBA,"Akebia Therapeutics, Inc."
162,0001744659,BBG00L9211Y8,us,BBG00L9211Z7,stocks,AKRO,"Akero Therapeutics, Inc. Common Stock"
163,0001584754,BBG005WX3H09,us,BBG005WX3H18,stocks,AKTS,"AKOUSTIS TECHNOLOGIES, INC."
164,0001541157,BBG003PMV495,us,BBG003PMV510,stocks,AKTX,Akari Therapeutics plc ADR (0.01 USD)
165,0001711933,BBG00JX4LRV6,us,BBG00JX4LRX4,stocks,AKYA,"Akoya BioSciences, Inc. Common Stock"
166,0001736297,BBG00TDKHW99,us,BBG00TDKHWK6,stocks,ALAB,"Astera Labs, Inc. Common Stock"
167,0001725332,BBG00GVM3KM9,us,BBG00GVM3LB9,stocks,ALAR,Alarum Technologies Ltd. American Depositary Share
168,0001630212,BBG008648HM7,us,BBG008648HN6,stocks,ALBT,Avalon GloboCare Corp. Common Stock
169,0001883984,BBG013NTTH95,us,BBG013NTTJD6,stocks,ALCE,"Alternus Clean Energy, Inc. Class A Common Stock"
170,0000003545,BBG000BBJR57,us,BBG001S5NKW0,stocks,ALCO,Alico Inc
171,0001901336,,us,,stocks,ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares
172,0001901336,,us,,stocks,ALCYU,Alchemy Investments Acquisition Corp 1 Units
173,0001901336,,us,,stocks,ALCYW,Alchemy Investments Acquisition Corp 1 Warrants
174,0002031561,,us,,stocks,ALDFU,Aldel Financial II Inc. Units
175,0001341235,BBG0029H8ZF6,us,BBG0029H8ZG5,stocks,ALDX,"Aldeyra Therapeutics, Inc."
176,0001653087,BBG00N0PL198,us,BBG00N0PL214,stocks,ALEC,"Alector, Inc. Common Stock"
177,0002010930,,us,,stocks,ALF,Centurion Acquisition Corp. Class A Ordinary Shares
178,0002010930,,us,,stocks,ALFUU,Centurion Acquisition Corp. Unit
179,0002010930,,us,,stocks,ALFUW,Centurion Acquisition Corp. Warrant
180,0000866291,BBG00H5S8391,us,BBG00H5S83B8,stocks,ALGM,"Allegro MicroSystems, Inc. Common Stock"
181,0001097149,BBG000BRNLL2,us,BBG001SCF1B9,stocks,ALGN,Align Technology Inc
182,0001799448,BBG00QX7QH68,us,BBG00QX7QH77,stocks,ALGS,"Aligos Therapeutics, Inc. Common Stock"
183,0001362468,BBG000LJS6B8,us,BBG001SQ25S5,stocks,ALGT,Allegiant Travel Company
184,0001832466,BBG00ZJ0DSR6,us,BBG00ZJ0DSS5,stocks,ALHC,"Alignment Healthcare, Inc. Common Stock"
185,0001520262,,us,,stocks,ALKS,Alkermes Inc. plc
186,0001529274,BBG005HTCT54,us,BBG005HTCT63,stocks,ALKT,"Alkami Technology, Inc. Common Stock"
187,0001564824,BBG003QBJKN0,us,BBG003QBJKP8,stocks,ALLK,Allakos Inc.
188,0001737287,BBG00KHRRDX3,us,BBG00KHRRDY2,stocks,ALLO,"Allogene Therapeutics, Inc. Common Stock"
189,0001860657,BBG012NXCZP8,us,BBG012NXCZQ7,stocks,ALLR,"Allarity Therapeutics, Inc. Common Stock"
190,0001365767,,us,,stocks,ALLT,Allot Ltd. Ordinary Shares
191,0001847367,BBG01J7X4PN2,us,BBG01J7X4PP0,stocks,ALMS,Alumis Inc. Common Stock
192,0000046129,BBG000BKVYJ3,us,BBG001S5RST3,stocks,ALNT,Allient Inc. Common Stock
193,0001178670,BBG000BFGNJ5,us,BBG001S7FTC8,stocks,ALNY,"Alnylam Pharmaceuticals, Inc."
194,0000008146,BBG000BBMCY4,us,BBG001S5NLS3,stocks,ALOT,"AstroNova, Inc. Common Stock"
195,0001459200,BBG007GNPYY7,us,BBG007GNPYZ6,stocks,ALRM,"Alarm.com Holdings, Inc."
196,0001420565,BBG002454KR1,us,BBG002454KS0,stocks,ALRN,"Aileron Therapeutics, Inc. Common Stock"
197,0000903419,BBG000BTXSH7,us,BBG001SGGKT8,stocks,ALRS,Alerus Financial Corporation Common Stock
198,0001865111,,us,,stocks,ALSA,Alpha Star Acquisition Corporation Ordinary Shares
199,0001865111,,us,,stocks,ALSAR,Alpha Star Acquisition Corporation Rights
200,0001865111,,us,,stocks,ALSAU,Alpha Star Acquisition Corporation Units
201,0001865111,,us,,stocks,ALSAW,Alpha Star Acquisition Corporation Warrants
202,0001326190,BBG000FXML90,us,BBG001SNS461,stocks,ALT,"Altimmune, Inc. Common Stock"
203,0001838615,BBG00Z6F0LQ7,us,BBG00Z6F0ML0,stocks,ALTI,"AlTi Global, Inc. Class A Common Stock"
204,0000778164,BBG000K4WSD7,us,BBG001SCBYZ5,stocks,ALTO,"Alto Ingredients, Inc. Common Stock"
205,0001701732,BBG000PN9NB9,us,BBG001SR65P2,stocks,ALTR,Altair Engineering Inc. Class A Common Stock
206,0000862861,BBG000CKLRH0,us,BBG001S6Y4N2,stocks,ALTS,ALT5 Sigma Corporation Common Stock
207,0001432353,BBG009L6H4R7,us,BBG009L6H4S6,stocks,ALTY,Global X Funds Global X Alternative Income ETF
208,0001898416,,us,,stocks,ALVO,Alvotech Ordinary Shares
209,0001898416,,us,,stocks,ALVOW,Alvotech Warrant
210,0001754068,BBG00P80SH34,us,BBG00P80SH43,stocks,ALVR,"AlloVir, Inc. Common Stock"
211,0001810182,BBG00VR8SDG8,us,BBG00VR8SF73,stocks,ALXO,ALX Oncology Holdings Inc. Common Stock
212,0001677077,BBG00ZMXG7M8,us,BBG00ZMXG7N7,stocks,ALZN,"Alzamend Neuro, Inc. Common Stock"
213,0001823608,BBG00XRT7YX6,us,BBG00XRT7YY5,stocks,AMAL,Amalgamated Financial Corp. Common Stock (DE)
214,0000006951,BBG000BBPFB9,us,BBG001S5NMM7,stocks,AMAT,Applied Materials Inc
215,0001280263,,us,,stocks,AMBA,"Ambarella, Inc. Ordinary Shares"
216,0001514991,BBG000H01H92,us,BBG001SLR8S3,stocks,AMCX,AMC Networks Inc. Class A
217,0000002488,BBG000BBQCY0,us,BBG001S5NN36,stocks,AMD,Advanced Micro Devices
218,0001689873,BBG01LNWKBD5,us,BBG01LNWKC70,stocks,AMDL,GraniteShares 2x Long AMD Daily ETF
219,0001689873,BBG01HX9PC83,us,BBG01HX9PDF3,stocks,AMDS,GraniteShares 1x Short AMD Daily ETF
